Actor,DOB,Age,Height,Status,children,"Top_4_Movies",Avg_Ratings,YouGov_Popularity_Percentage,YouGov_Dislike_Percentage,YouGov_Neutral_Percentage,YouGov_Fame_Percentage,Ranker_com_Best_Male_Actors_Ranking,Image_1,Image_2
Mads Mikkelsen,22-Nov-65,59,6',Married,2,"Hannibal, 2013-2015, 8.5
The Hunt, 2012, 8.3
Doctor Strange, 2016, 7.5
Another Round, 2020, 7.7",8,32,4,15,50,85,http://www.gettyimages.com/detail/1813430766,//embed.gettyimages.com/embed/1813430766?et=6PRnopxJTpBdxrsgpWmzNQ&tld=com&sig=vvebGoO8T2BcNYs_0FX7geYjf9cQQMLX5Gzl-lT5hK8=&caption=true&ver=1
Bradley Cooper,5-Jan-75,49,"6'1""",Single,1,"A Star is Born, 2018, 7.6
American Sniper, 2014, 7.3
Silver Linings Playbook, 2012, 7.7
American Hustle, 2013, 7.2",7.45,63,6,20,88,25,http://www.gettyimages.com/detail/1485921467,//embed.gettyimages.com/embed/1485921467?et=ewbEuq1uQS5baX7ysn7HWw&tld=com&sig=hAeNpxNkfPeC-KRYyrMa1Nqe4FqtGJeL7ffR9MglXqo=&caption=true&ver=1
Oscar Isaac,9-Mar-79,45,"5'8.5""",Married,2,"Ex Machina, 2014, 7.7
Inside Llewyn Davis, 2013, 7.4
A Most Violent Year, 2014, 6.9
Star Wars: Episode VIII, 2017, 6.9",7.225,34,4,16,54,222,http://www.gettyimages.com/detail/1432368119,//embed.gettyimages.com/embed/1432368119?et=3PHVIbwzTNZ9ld33XlU3lg&tld=com&sig=5r8sKHPT8gf__IXefGDYhTAkkqQmSLxvpQERZcGkGo4=&caption=true&ver=1
Pedro Pascal,2-Apr-75,49,"5'10.5""",Single,0,"The Last of Us, 2023-2025, 8.7
The Madalorian, 2019-2023, 8.6
Game of Thrones, 2014, 9.2
Kingsman: The Golden Circle, 2017, 6.7",8.3,38,4,16,68,66,http://www.gettyimages.com/detail/1468535599,//embed.gettyimages.com/embed/1468535599?et=tbohgpPoTmFUGZAlnnKIVw&tld=com&sig=laFzsE6vSOLUHdisp9W_5l_tKw-RjjImqTDoSMnv8BU=&caption=true&ver=1
Chris Pine,26-Aug-80,44,"6'.05""",Single,0,"Star Trek, 2009, 7.8
Wonder Woman, 2017, 7.3
Star Trek Beyond, 2016, 7.0
Star Trek Into Darkness, 2013, 7.7",7.45,52,5,20,77,82,http://www.gettyimages.com/detail/1204969416,//embed.gettyimages.com/embed/1204969416?et=_k7eD9yiTaZkPE6kHsWcsA&tld=com&sig=QGGg06ubyyXLRQWpsh_O33WjVdVFFsC6Geo5Er3zyqs=&caption=true&ver=1
Christian Bale,30-Jan-74,50,6',Married,2,"The Dark Knight, 2008, 9.0
Batman Begins, 2005, 8.2
The Dark Knight Rises, 2012, 8.4
American Psycho, 2000, 7.6",8.3,62,4,20,86,27,http://www.gettyimages.com/detail/1426051372,//embed.gettyimages.com/embed/1426051372?et=9Qf0X6tUSJ5dVpL7iM69rQ&tld=com&sig=WbP8VDve-TRvCVqCNydmq5F26a8VUuWI7DGgSeMVEp8=&caption=true&ver=1
Henry Cavill,5-May-83,41,"6'1""",In a relationship,0,"Man of Steel, 2013, 7.1
Batman v Superman: Dawn of Justice, 2016, 6.5
Justice League, 2017, 6.1
The Man From U.N.C.L.E, 2015, 7.2",6.725,48,5,18,71,140,http://www.gettyimages.com/detail/1448718712,//embed.gettyimages.com/embed/1448718712?et=rp1AU2NeSCpKftlE-jYeZw&tld=com&sig=OECt-syk1bHxm99fnH9zzwy3dwwD32ZLVI6cjoP_ut0=&caption=true&ver=1
Michael Fassbender,2-Apr-77,47,6',Married,2,"Shame, 2011, 7.2
Prometheus, 2012, 7.0
X-Men: First Class, 2011, 7.7
Steve Jobs, 2015, 7.2",7.725,40,2,20,62,59,http://www.gettyimages.com/detail/683506346,//embed.gettyimages.com/embed/683506346?et=JfEXQSA_RGVWx9n77X-K_w&tld=com&sig=fLJrVOzhR6I12FNc2AM-d-RJKJG5PztHUem1g3JOnCw=&caption=true&ver=1
Charlie Hunnam,10-Apr-80,44,6',In a relationship,0,"Sons of Anarchy, 2008-2014, 8.6
Pacific Rim, 2013, 6.9
Children of Men, 2006, 7.9
King Arthur: Legend of the Sword, 2017, 6.7",7.525,36,5,13,53,159,http://www.gettyimages.com/detail/2151817085,//embed.gettyimages.com/embed/2151817085?et=0PxDFnN6QsdHkfhyYJDE9w&tld=com&sig=gWcX2lkOtgtUdYYWhLZbNmMJeXYrGcXqphe3GHXHseM=&caption=true&ver=1
Alexander Skarsgard,25-Aug-76,48,"6'4.5""",In a relationship,1,"The Legend of Tarzan, 2016, 6.2
Big Little Lies, 2017-2019, 8.4
True Blood, 2008-2014, 7.9
The Little Drummer Girl, 2018, 7.4",7.475,46,3,18,67,104,http://www.gettyimages.com/detail/1392257631,//embed.gettyimages.com/embed/1392257631?et=0BqHcuKfS_5PQyrv_pZRTw&tld=com&sig=2jX0R9Py748-jqI5vwWZ-5OpbDQprY7blOcUByjE2tg=&caption=true&ver=1
Sterling K. Brown,5-Apr-76,48,6',Married,2,"Black Panther, 2018, 7.3
Waves, 2019, 7.5
American Fiction, 2023, 7.5
The Predator, 2018, 5.3",6.9,38,5,15,57,236,http://www.gettyimages.com/detail/1933807324,//embed.gettyimages.com/embed/1933807324?et=UBLsJK7zS7Rw-z3Gf450Hw&tld=com&sig=3BIsGN68qkoIkGOFHZJQ5EaEO4KV1-bDWSYHjFMEXr0=&caption=true&ver=1
Adam Driver,19-Nov-83,41,"6'3""",Married,2,"Star Wars: Episode VII, 2015, 7.8
Paterson, 2016, 7.3
Star Wars: Episode VIII, 2017, 6.9
Marriage Story, 2019, 7.9",7.475,52,5,19,75,125,http://www.gettyimages.com/detail/1851532796,//embed.gettyimages.com/embed/1851532796?et=seuRuK_xRARE8oaMqfoWiw&tld=com&sig=7v8BJgtlqq0ck5Bx0gK1ive--aLVHgHDLqxcKEVI6LI=&caption=true&ver=1
Sebastian Stan,13-Aug-82,42,6',In a relationship,0,"Captain America: The Winter Soldier, 2014, 7.7
Avengers: Endgame, 2019, 8.4
Captain America: Civil War, 2016, 7.8
Captain America: The First Avenger, 2011, 6.9",7.7,35,4,17,56,217,http://www.gettyimages.com/detail/1423202003,//embed.gettyimages.com/embed/1423202003?et=1bludLQNTvJkJscX1rmApw&tld=com&sig=6Q54VH6rLqhdebdOlmSYOXg00P0rZOsc2Fv8nUzHSKU=&caption=true&ver=1
Jeremy Renner,7-Jan-71,53,"5'8.5""",Single,1,"The Hurt Locker, 2008, 7.5
The Town, 2010, 7.5
Wind River, 2017, 7.7
The Avengers, 2012, 8.0",7.675,58,4,19,81,81,http://www.gettyimages.com/detail/1138768446,//embed.gettyimages.com/embed/1138768446?et=t1umjcyxROhDfBsAHXgGCA&tld=com&sig=J3_EQabzN63K6P_9i2LyX5qnarkiq_CVsVzSwX6fNQs=&caption=true&ver=1
Michael B. Jordan,9-Feb-87,37,6',Single,0,"Black Panther, 2018, 7.3
Creed, 2015, 7.6
Fruitvale Station, 2013, 7.5
Creed II, 2018, 7.1",7.375,58,5,19,81,96,http://www.gettyimages.com/detail/1485906560,//embed.gettyimages.com/embed/1485906560?et=ZagypW8PSrZq1-7dBme-mA&tld=com&sig=Z_mz8lCeMWvpM8a2-lM1FOiU0E2sUnGPj19tMPMaAtQ=&caption=true&ver=1
Antonio Banderas,10-Aug-60,64,"5'8.5""",In a relationship,1,"The Mask of Zorro, 1998, 6.8
The Skin I Live In, 2011, 7.6
The 13th Warrior, 1999, 6.6
Desperado, 1995, 7.1",7.025,67,4,20,91,128,http://www.gettyimages.com/detail/1442300927,//embed.gettyimages.com/embed/1442300927?et=1LTShnJpSG1Yzgl51xOkjg&tld=com&sig=HUwf2j_k71IsxAUFpO7Rd0_FQ_NTlOXzRGTvZYsfMuk=&caption=true&ver=1
Jeff Goldblum,22-Oct-52,72,"6'4.5""",Married,2,"Jurassic Park, 1993, 8.2
The Fly, 1986, 7.6
The Grand Budapest Hotel, 2014, 8.1
Independence Day, 1996. 7.0",7.725,61,4,16,81,http://www.gettyimages.com/detail/2158756537,//embed.gettyimages.com/embed/2158756537?et=8JqGmrCLTE9wZ2vl4sCOyA&tld=com&sig=MjVXEN-7rrwsQC8AkbGg2KvOFN79alOtYuyeulqYIKk=&caption=true&ver=1
Javier Bardem,1-Mar-69,55,"5'11.25""",Married,2,"Skyfall, 2012, 7.8
No Country for Old Men, 2007, 8.2
The Sea Inside, 2004, 8.0
Biutiful, 2010, 7.4",7.85,42,3,15,60,95,http://www.gettyimages.com/detail/1381920189,//embed.gettyimages.com/embed/1381920189?et=zkyjrFb0SBBSalgVYaXk2g&tld=com&sig=T3FsYz63Cl1xfbT5Fs0gBSd3KDcTLkfVt_zn2QCcMkE=&caption=true&ver=1
Chris Evans,13-Jun-81,43,"6'0.5""",Married,0,"The Avengers, 2012, 8.0
Captain America: The First Avenger, 2011, 6.9
Captain America: Civil War, 2016, 7.8
Avengers: Age of Ultron, 2015, 7.3",7.5,56,4,17,77,52,http://www.gettyimages.com/detail/1402715512,//embed.gettyimages.com/embed/1402715512?et=abqJeX0tQz9FogxdtDFPqg&tld=com&sig=-sCA-AUndblEgSba3KCKF-o6YQRGtV8VjxeLiiV7YI8=&caption=true&ver=1
Liam Hemsworth,13-Jan-90,34,"6'3.25""",In a relationship,0,"The Hunger Games, 2012, 7.2
The Hunger Games: Mockingjay part 1, 2014, 6.6
The Hunger Games: Catching Fire, 2013, 7.5
Independence Day: Resurgence, 2016, 5.2",6.625,57,6,24,87,132,http://www.gettyimages.com/detail/1441632899,//embed.gettyimages.com/embed/1441632899?et=NPpDr3eWRENi3DqEa0UyVg&tld=com&sig=ue4FQC3hCRo1-eYpcf-K928Sj9SaZgOPtS81z7jzp0U=&caption=true&ver=1
Zac Efron,18-Oct-87,37,"5'8""",Single,0,"High School Musical 3: Senior Year, 2008, 5.0
17 Again, 2009, 6.4
Extremely Wicked, Shockingly Evil and Vile, 2019, 6.7
The Greatest Showman, 2017, 7.5",6.4,54,5,29,88,169,http://www.gettyimages.com/detail/902368720,//embed.gettyimages.com/embed/902368720?et=tUq_hRx8SVB1qG1I3T_n1g&tld=com&sig=5XQCo8cnrL8xcVuN_P7X-z3ME9B0v3Bwrk-boJkpPec=&caption=true&ver=1
Paul Rudd,6-Apr-69,55,5'9,Married,2,"Ant-Man, 2015, 7.2
Ant-Man and the Wasp, 2018, 7.0
I Love You, Man, 2009, 7.0
The Perks of Being a Wallflower, 2012, 7.9",7.275,61,5,19,85,40,http://www.gettyimages.com/detail/1466832150,//embed.gettyimages.com/embed/1466832150?et=HMSQemzMTed2YOERArxfyw&tld=com&sig=FThAeiyVj3egf6cgNh23LGk57V0UoHuL_C8V84YAJGc=&caption=true&ver=1
Jude Law,29-Dec-72,51,"5'10.25""",Married,7,"The Talented Mr. Ripley, 1999, 7.4
Closer, 2004, 7.2
The Grand Budapest Hotel, 2014, 8.1
Sky Captain and the World of Tomorrow, 2004, 6.1",7.2,55,3,23,82,75,http://www.gettyimages.com/detail/2166139394,//embed.gettyimages.com/embed/2166139394?et=xrScd4auTmVaHjMcpGwvqA&tld=com&sig=qoiHxKkEotg6NjjPFvJ-w2fBw4yZOKlniUY0a5wSHvY=&caption=true&ver=1
Robert Downey Jr,4-Apr-65,59,"5'8""",Married,3,"Iron Man, 2008, 7.9
Iron Man 3, 2013, 7.1
Sherlock Holmes, 2009, 7.6
Avengers: Endgame, 2019, 8.4",7.75,73,5,16,95,4,http://www.gettyimages.com/detail/2005968508,//embed.gettyimages.com/embed/2005968508?et=OZ58q2M5QDBhuusKJUBL4Q&tld=com&sig=TTJGGZWeVYJc7xpNHpCjDtxUI-n3vMNuyhH0qQUGwrE=&caption=true&ver=1
Jon Hamm,10-Mar-71,53,"6'1.25""",Single,0,"Mad Men, 2007-2015, 8.7
The Town, 2010, 7.5
Million Dollar Arm, 2014, 7.0
Tag, 2018, 6.5",7.425,41,3,18,63,151,http://www.gettyimages.com/detail/1426627534,//embed.gettyimages.com/embed/1426627534?et=JMjtmcGjRzFlWUZxESdjvg&tld=com&sig=waDn7B7Kk_6m8grLmRCF7NdCZfQtteojtxiAHEI2NyE=&caption=true&ver=1
